component_name	component_caption	measurement_unit	measurement_technique_principle	statistics_average_group	year_1999_mean	year_1999_median(P50)	year_2000_mean	year_2000_median(P50) 
 Nitrogen dioxide (air)	NO2	ug/m3	DOAS	day	18.121	16.164	13.175	12.562 

component_name	component_caption	measurement_unit	measurement_technique_principle	statistics_average_group	year_1999_mean	year_2000_mean 
 Ozone (air)	O3	ug/m3	DOAS	day	54.412	56.239 

component_name	component_caption	measurement_unit	measurement_technique_principle	statistics_average_group	year_1999_mean	year_1999_median(P50)	year_2000_mean	year_2000_median(P50) 
 Sulphur dioxide (air)	SO2	ug/m3	DOAS	day	9.281	7.787	4.884	4.958 

