component_name	component_caption	measurement_unit	measurement_technique_principle	statistics_average_group	year_2000_mean	year_2000_median(P50)	year_2002_mean	year_2002_median(P50) 
 Nitrogen dioxide (air)	NO2	ug/m3	DOAS	day	24.848	23.750	29.725	29.767 

component_name	component_caption	measurement_unit	measurement_technique_principle	statistics_average_group	year_2000_mean 
 Ozone (air)	O3	ug/m3	DOAS	day	66.507 

component_name	component_caption	measurement_unit	measurement_technique_principle	statistics_average_group	year_2000_mean	year_2000_median(P50)	year_2002_mean	year_2002_median(P50) 
 Sulphur dioxide (air)	SO2	ug/m3	DOAS	day	7.504	7.133	10.506	9.259 

