component_name	component_caption	measurement_unit	measurement_technique_principle	statistics_average_group	year_2000_mean	year_2000_median(P50) 
 Nitrogen dioxide (air)	NO2	ug/m3	DOAS	day	16.395	15.879 

component_name	component_caption	measurement_unit	measurement_technique_principle	statistics_average_group	year_2000_mean 
 Ozone (air)	O3	ug/m3	DOAS	day	65.388 

component_name	component_caption	measurement_unit	measurement_technique_principle	statistics_average_group	year_2000_mean	year_2000_median(P50) 
 Sulphur dioxide (air)	SO2	ug/m3	DOAS	day	8.822	5.129 

