component_name	component_caption	measurement_unit	measurement_technique_principle	statistics_average_group	year_2000_mean	year_2000_median(P50)	year_2001_mean	year_2001_median(P50)	year_2002_mean	year_2002_median(P50)	year_2003_mean	year_2003_median(P50)	year_2004_mean	year_2004_median(P50)	year_2005_mean	year_2005_median(P50)	year_2006_mean	year_2006_median(P50) 
 Nitrogen dioxide (air)	NO2	ug/m3	DOAS	day	18.627	18.129	18.222	17.337	18.633	16.929	18.570	16.621	20.516	18.283	19.316	16.687	20.592	18.495 

component_name	component_caption	measurement_unit	measurement_technique_principle	statistics_average_group	year_2000_mean	year_2001_mean	year_2002_mean	year_2003_mean	year_2004_mean	year_2005_mean	year_2006_mean 
 Ozone (air)	O3	ug/m3	DOAS	day	53.045	50.262	63.419	50.789	49.088	47.101	53.140 

component_name	component_caption	measurement_unit	measurement_technique_principle	statistics_average_group	year_2000_mean	year_2000_median(P50)	year_2001_mean	year_2001_median(P50)	year_2002_mean	year_2002_median(P50)	year_2003_mean	year_2003_median(P50)	year_2004_mean	year_2004_median(P50)	year_2005_mean	year_2005_median(P50)	year_2006_mean	year_2006_median(P50) 
 Sulphur dioxide (air)	SO2	ug/m3	DOAS	day	4.596	4.367	5.298	3.862	6.415	4.496	6.880	5.363	6.642	5.192	7.441	6.133	8.181	6.725 

