component_name	component_caption	measurement_unit	measurement_technique_principle	statistics_average_group	year_2005_mean	year_2005_median(P50)	year_2006_mean	year_2006_median(P50) 
 Arsenic (aerosol)	As	ng/m3	atomic absorption spectrometry, electrometric atomization	week	0.521	0.360	0.614	0.450 

component_name	component_caption	measurement_unit	measurement_technique_principle	statistics_average_group	year_2006_mean	year_2006_median(P50) 
 Benzene (air)	C6H6	ug/m3	gas chromatography mass spectrometry (GC-MS)	month	1.930	1.700 

component_name	component_caption	measurement_unit	measurement_technique_principle	statistics_average_group	year_2005_mean	year_2005_median(P50)	year_2006_mean	year_2006_median(P50) 
 Cadmium (aerosol)	Cd	ng/m3	atomic absorption spectrometry	week	0.786	0.603	0.475	0.370 

component_name	component_caption	measurement_unit	measurement_technique_principle	statistics_average_group	year_2004_mean	year_2004_median(P50)	year_2005_mean	year_2005_median(P50)	year_2006_mean	year_2006_median(P50) 
 Lead (aerosol)	Pb	ug/m3	atomic absorption spectrophotometry, electrometric atomizati	week	0.004	0.004	0.006	0.004	0.011	0.010 

component_name	component_caption	measurement_unit	measurement_technique_principle	statistics_average_group	year_2005_mean	year_2005_median(P50)	year_2006_mean	year_2006_median(P50) 
 Nickel (aerosol)	Ni	ng/m3		week	2.221	2.210	5.951	5.230 

component_name	component_caption	measurement_unit	measurement_technique_principle	statistics_average_group	year_2003_mean	year_2003_median(P50)	year_2004_mean	year_2004_median(P50)	year_2005_mean	year_2005_median(P50)	year_2006_mean	year_2006_median(P50) 
 Particulate matter < 10 µm (aerosol)	PM10	ug/m3	Beta ray attenuation	day	15.719	13.900	14.341	13.500	18.173	17.100	28.746	24.900 

